"﻿""﻿""""﻿""""""""title""""""""""""""","url","finalUrl","fetchedAt","html","screenshot","text"
"PC-9801-コンピュータ博物館","https://museum.ipsj.or.jp/computer/personal/0011.html","https://museum.ipsj.or.jp/computer/personal/0011.html","2026-06-28T15:49:56.088Z","museum.ipsj.or.jp_computer_personal_0011.html__939b9c4b.html","museum.ipsj.or.jp_computer_personal_0011.html__939b9c4b.png","museum.ipsj.or.jp_computer_personal_0011.html__939b9c4b.txt"
"国民機パソコン、その誕生から引退まで｜大塚商会","https://mypage.otsuka-shokai.co.jp/contents/business-oyakudachi/it-history/chapter008/pc9800series.html","https://mypage.otsuka-shokai.co.jp/contents/business-oyakudachi/it-history/chapter008/pc9800series.html","2026-06-28T15:49:52.222Z","mypage.otsuka-shokai.co.jp_contents_business-oyakudachi_it-history_chapter008_pc9800series.html__65803837.html","mypage.otsuka-shokai.co.jp_contents_business-oyakudachi_it-history_chapter008_pc9800series.html__65803837.png","mypage.otsuka-shokai.co.jp_contents_business-oyakudachi_it-history_chapter008_pc9800series.html__65803837.txt"
"Leaf、Key対談(インタビュー):『ときメモ』に挑んだ『ToHeart』『鳥の詩』制作秘話、時代を変えたKeyの泣きゲー","https://news.denfaminicogamer.jp/interview/250325e","https://news.denfaminicogamer.jp/interview/250325e","2026-06-28T15:49:29.738Z","news.denfaminicogamer.jp_interview_250325e__9c9db57f.html","news.denfaminicogamer.jp_interview_250325e__9c9db57f.png","news.denfaminicogamer.jp_interview_250325e__9c9db57f.txt"
"Leaf、Key対談(インタビュー):『ときメモ』に挑んだ『ToHeart』『鳥の詩』制作秘話、時代を変えたKeyの泣きゲー","https://news.denfaminicogamer.jp/interview/250325e/2","https://news.denfaminicogamer.jp/interview/250325e/2","2026-06-28T15:49:34.609Z","news.denfaminicogamer.jp_interview_250325e_2__a1ac9de9.html","news.denfaminicogamer.jp_interview_250325e_2__a1ac9de9.png","news.denfaminicogamer.jp_interview_250325e_2__a1ac9de9.txt"
"2026春アニメ 地域別の放送状況やアニメ放送枠一覧【26/4/1】｜小路あかり/akairomosaic","https://note.com/komichi_akari/n/n85c99881960d","https://note.com/komichi_akari/n/n85c99881960d","2026-06-28T15:50:00.483Z","note.com_komichi_akari_n_n85c99881960d__08bb85b7.html","note.com_komichi_akari_n_n85c99881960d__08bb85b7.png","note.com_komichi_akari_n_n85c99881960d__08bb85b7.txt"
"エロゲーがオタクカルチャーの主流に君臨していた時期があったという話から「To Heart」の偉大さについて話が盛り上がる - Togetter","https://togetter.com/li/2668171","https://togetter.com/li/2668171","2026-06-28T15:49:09.655Z","togetter.com_li_2668171__4a86ea4a.html","togetter.com_li_2668171__4a86ea4a.png","togetter.com_li_2668171__4a86ea4a.txt"
"エロゲーがオタクカルチャーの主流に君臨していた時期があったという話から「To Heart」の偉大さについて話が盛り上がる (2ページ目) - Togetter","https://togetter.com/li/2668171?page=2","https://togetter.com/li/2668171?page=2","2026-06-28T15:49:13.008Z","togetter.com_li_2668171_page_2__24a35198.html","togetter.com_li_2668171_page_2__24a35198.png","togetter.com_li_2668171_page_2__24a35198.txt"
"[观点]“galgame”还是“黄油” - 哔哩哔哩","https://www.bilibili.com/opus/426753993553749222?spm_id_from=333.1387.0.0","https://www.bilibili.com/opus/426753993553749222?spm_id_from=333.1387.0.0","2026-06-28T15:50:17.222Z","www.bilibili.com_opus_426753993553749222_spm_id_from_333.1387.0.0__18967494.html","www.bilibili.com_opus_426753993553749222_spm_id_from_333.1387.0.0__18967494.png","www.bilibili.com_opus_426753993553749222_spm_id_from_333.1387.0.0__18967494.txt"
"[galgame翻译见解]语境与翻译中的平衡问题 - 哔哩哔哩","https://www.bilibili.com/opus/429253436890299534?spm_id_from=333.1387.0.0","https://www.bilibili.com/opus/429253436890299534?spm_id_from=333.1387.0.0","2026-06-28T15:50:11.081Z","www.bilibili.com_opus_429253436890299534_spm_id_from_333.1387.0.0__01daf7fa.html","www.bilibili.com_opus_429253436890299534_spm_id_from_333.1387.0.0__01daf7fa.png","www.bilibili.com_opus_429253436890299534_spm_id_from_333.1387.0.0__01daf7fa.txt"
"我为什么喜欢《泡沫冬景》 - 哔哩哔哩","https://www.bilibili.com/opus/456816952148364853?spm_id_from=333.1387.0.0","https://www.bilibili.com/opus/456816952148364853?spm_id_from=333.1387.0.0","2026-06-28T15:50:14.167Z","www.bilibili.com_opus_456816952148364853_spm_id_from_333.1387.0.0__4d8e29e0.html","www.bilibili.com_opus_456816952148364853_spm_id_from_333.1387.0.0__4d8e29e0.png","www.bilibili.com_opus_456816952148364853_spm_id_from_333.1387.0.0__4d8e29e0.txt"
"一个galgame玩家的生活——记在投稿1000天纪念日 - 哔哩哔哩","https://www.bilibili.com/opus/587090409816858132?spm_id_from=333.1387.0.0","https://www.bilibili.com/opus/587090409816858132?spm_id_from=333.1387.0.0","2026-06-28T15:50:07.997Z","www.bilibili.com_opus_587090409816858132_spm_id_from_333.1387.0.0__bb56e9b3.html","www.bilibili.com_opus_587090409816858132_spm_id_from_333.1387.0.0__bb56e9b3.png","www.bilibili.com_opus_587090409816858132_spm_id_from_333.1387.0.0__bb56e9b3.txt"
"商业黄油的黄金时代结束，只是暂时萎缩，之后会恢复的推论（一） - 哔哩哔哩","https://www.bilibili.com/opus/810264516919034071?from=search&spm_id_from=333.337.0.0","https://www.bilibili.com/opus/810264516919034071?from=search&spm_id_from=333.337.0.0","2026-06-28T15:50:04.807Z","www.bilibili.com_opus_810264516919034071_from_search_spm_id_from_333.337.0.0__51bf94f1.html","www.bilibili.com_opus_810264516919034071_from_search_spm_id_from_333.337.0.0__51bf94f1.png","www.bilibili.com_opus_810264516919034071_from_search_spm_id_from_333.337.0.0__51bf94f1.txt"
"1990年代のエロゲー業界漫画『16bitセンセーション』はいかにして生まれた？ 作者・若木民喜、原案・みつみ美里＆甘露樹に直撃 | ゲーム・エンタメ最新情報のファミ通.com","https://www.famitsu.com/news/202012/26211397.html","https://www.famitsu.com/news/202012/26211397.html","2026-06-28T15:49:18.878Z","www.famitsu.com_news_202012_26211397.html__57865262.html","www.famitsu.com_news_202012_26211397.html__57865262.png","www.famitsu.com_news_202012_26211397.html__57865262.txt"
"『雫』『痕』、そして『ToHeart』。ビジュアルノベルの誕生と繚乱【アニメ『16bitセンセーション ANOTHER LAYER』連動企画第4回】 | ゲーム・エンタメ最新情報のファミ通.com","https://www.famitsu.com/news/202310/29322123.html","https://www.famitsu.com/news/202310/29322123.html","2026-06-28T15:49:23.913Z","www.famitsu.com_news_202310_29322123.html__6a9fab1a.html","www.famitsu.com_news_202310_29322123.html__6a9fab1a.png","www.famitsu.com_news_202310_29322123.html__6a9fab1a.txt"
"総務省｜東北総合通信局｜地上アナログ放送の終了","https://www.soumu.go.jp/soutsu/tohoku/digital/decision.html","https://www.soumu.go.jp/soutsu/tohoku/digital/decision.html","2026-06-28T15:49:45.925Z","www.soumu.go.jp_soutsu_tohoku_digital_decision.html__cc439b14.html","www.soumu.go.jp_soutsu_tohoku_digital_decision.html__cc439b14.png","www.soumu.go.jp_soutsu_tohoku_digital_decision.html__cc439b14.txt"
"カウボーイビバップ｜作品紹介｜サンライズ","https://www.sunrise-inc.co.jp/work/detail.php?cid=240","https://www.sunrise-inc.co.jp/work/detail.php?cid=240","2026-06-28T15:49:38.103Z","www.sunrise-inc.co.jp_work_detail.php_cid_240__b879b2fb.html","www.sunrise-inc.co.jp_work_detail.php_cid_240__b879b2fb.png","www.sunrise-inc.co.jp_work_detail.php_cid_240__b879b2fb.txt"
"会社情報：TXN系列局：株式会社テレビ東京","https://www.tv-tokyo.co.jp/kaisha/company/network.html","https://www.tv-tokyo.co.jp/kaisha/company/network.html","2026-06-28T15:49:41.789Z","www.tv-tokyo.co.jp_kaisha_company_network.html__6aa8ac40.html","www.tv-tokyo.co.jp_kaisha_company_network.html__6aa8ac40.png","www.tv-tokyo.co.jp_kaisha_company_network.html__6aa8ac40.txt"
"ひで on X: ""ほんの一時期だけ、エロゲーがオタクカルチャーの主流に君臨していた時期があるんですよ。 1990年代末～2000年代前半くらいの、ほんの数年の短い期間だけ。 あの時代は一体何だったのか、エロゲーやノベルゲーについて考える上で今改めて問い直されるべきだとは思う。 &gt;RP"" / X","https://x.com/hide_yuki7777/status/2026131732542689338","https://x.com/hide_yuki7777/status/2026131732542689338","2026-06-28T15:49:05.266Z","x.com_hide_yuki7777_status_2026131732542689338__7a775d8c.html","x.com_hide_yuki7777_status_2026131732542689338__7a775d8c.png","x.com_hide_yuki7777_status_2026131732542689338__7a775d8c.txt"
"NECの「PC-9800」シリーズ、累計1,500万台を突破","https://pc.watch.impress.co.jp/docs/article/961205/nec.htm","https://pc.watch.impress.co.jp/docs/article/961205/nec.htm","2026-06-29T16:27:27.9214437Z","pc.watch.impress.co.jp_docs_article_961205_nec.htm__manual20260630.html","pc.watch.impress.co.jp_docs_article_961205_nec.htm__manual20260630.png","pc.watch.impress.co.jp_docs_article_961205_nec.htm__manual20260630.txt"
"PC98回顧録(90年代初頭、美少女ゲー、秋葉原、レンタル屋 | 秋葉原へよく行くヲタクのブログ～The way of TO ﾄｯﾌﾟｵﾀへの道","https://ameblo.jp/notchi-official/entry-12652608940.html","https://ameblo.jp/notchi-official/entry-12652608940.html","2026-06-29T16:27:28.0792135Z","ameblo.jp_notchi-official_entry-12652608940.html__manual20260630.html","ameblo.jp_notchi-official_entry-12652608940.html__manual20260630.png","ameblo.jp_notchi-official_entry-12652608940.html__manual20260630.txt"
"これまでの歩み｜ソフマップ(Sofmap)","https://www.sofmap.co.jp/about/history","https://www.sofmap.co.jp/about/history","2026-06-29T16:27:28.4009211Z","www.sofmap.co.jp_about_history__manual20260630.html","www.sofmap.co.jp_about_history__manual20260630.png","www.sofmap.co.jp_about_history__manual20260630.txt"
"90年代半ばのアキバでのPCゲーム事情 - サブカル回顧録","https://setoalpha.hatenablog.com/entry/2019/08/12/024509","https://setoalpha.hatenablog.com/entry/2019/08/12/024509","2026-06-29T16:42:45.4499810Z","setoalpha.hatenablog.com_entry_2019_08_12_024509__manual20260630.html","setoalpha.hatenablog.com_entry_2019_08_12_024509__manual20260630.png","setoalpha.hatenablog.com_entry_2019_08_12_024509__manual20260630.txt"
"オタクメディア入手すら困難な田舎に住んでいるので、俺は秋葉原に買出しに出かけます - シロクマの屑籠","https://p-shirokuma.hatenadiary.com/entry/20060830/p1","https://p-shirokuma.hatenadiary.com/entry/20060830/p1","2026-06-29T16:42:45.6466657Z","p-shirokuma.hatenadiary.com_entry_20060830_p1__manual20260630.html","p-shirokuma.hatenadiary.com_entry_20060830_p1__manual20260630.png","p-shirokuma.hatenadiary.com_entry_20060830_p1__manual20260630.txt"
"駿河屋 To Heart オートデモ（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/145033464","https://www.suruga-ya.jp/kaitori/kaitori_detail/145033464","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 To Heart 初回版（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/145000038","https://www.suruga-ya.jp/kaitori/kaitori_detail/145000038","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 YU-NO スペシャルディスク（failure record）","https://www.suruga-ya.jp/product/detail/155005325","https://www.suruga-ya.jp/product/detail/155005325","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 YU-NO スペシャルディスク買取（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/125002344","https://www.suruga-ya.jp/kaitori/kaitori_detail/125002344","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 YU-NO 商品頁（failure record）","https://www.suruga-ya.jp/product/detail/145000102","https://www.suruga-ya.jp/product/detail/145000102","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 YU-NO 買取頁（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/155004099","https://www.suruga-ya.jp/kaitori/kaitori_detail/155004099","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 同級生 商品頁（failure record）","https://www.suruga-ya.jp/product/detail/155004280","https://www.suruga-ya.jp/product/detail/155004280","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 同級生 買取頁（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/125000006","https://www.suruga-ya.jp/kaitori/kaitori_detail/125000006","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 同級生2 5インチ/3.5インチ関連（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/155004981","https://www.suruga-ya.jp/kaitori/kaitori_detail/155004981","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 同級生2 HD専用関連（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/155004090","https://www.suruga-ya.jp/kaitori/kaitori_detail/155004090","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 同級生2 商品関連A（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/125000033","https://www.suruga-ya.jp/kaitori/kaitori_detail/125000033","2026-06-29T16:45:44.2597828Z","","",""
"駿河屋 同級生2 商品関連B（failure record）","https://www.suruga-ya.jp/kaitori/kaitori_detail/125001592","https://www.suruga-ya.jp/kaitori/kaitori_detail/125001592","2026-06-29T16:45:44.2597828Z","","",""
"なぜ地方ではアニメが放送されないのかをテレビ局の人に聞いてみた | TOPPYのくびったけ日記","https://blog.toppy.net/1077821","https://blog.toppy.net/1077821","2026-06-30T07:16:06.359539+00:00","blog.toppy.net_1077821__wsl20260630.html","blog.toppy.net_1077821__wsl20260630.png","blog.toppy.net_1077821__wsl20260630.txt"
"私のオーディオ・ビデオ遍歴（第３回）　～わしらのビデオはビクターじゃ！～ - 不定期連載　私のオーディオ・ビデオ遍歴","https://eizo22.blog.fc2.com/blog-entry-270.html","https://eizo22.blog.fc2.com/blog-entry-270.html","2026-06-30T07:16:07.995737+00:00","eizo22.blog.fc2.com_blog-entry-270.html__wsl20260630.html","eizo22.blog.fc2.com_blog-entry-270.html__wsl20260630.png","eizo22.blog.fc2.com_blog-entry-270.html__wsl20260630.txt"
"PS ソフト歴代売上ランキング","https://gamesdata.info/soft-ps.html","https://gamesdata.info/soft-ps.html","2026-06-30T07:12:22.688235+00:00","gamesdata.info_soft-ps.html__wsl20260630.html","gamesdata.info_soft-ps.html__wsl20260630.png","gamesdata.info_soft-ps.html__wsl20260630.txt"
"SS ソフト歴代売上ランキング","https://gamesdata.info/soft-ss.html","https://gamesdata.info/soft-ss.html","2026-06-30T07:12:23.899339+00:00","gamesdata.info_soft-ss.html__wsl20260630.html","gamesdata.info_soft-ss.html__wsl20260630.png","gamesdata.info_soft-ss.html__wsl20260630.txt"
"E-LOGIN - Wikipedia","https://ja.wikipedia.org/wiki/E-LOGIN","https://ja.wikipedia.org/wiki/E-LOGIN","2026-06-30T07:06:15.523936+00:00","ja.wikipedia.org_wiki_E-LOGIN__wsl20260630.html","ja.wikipedia.org_wiki_E-LOGIN__wsl20260630.png","ja.wikipedia.org_wiki_E-LOGIN__wsl20260630.txt"
"TECH GIAN - Wikipedia","https://ja.wikipedia.org/wiki/TECH_GIAN","https://ja.wikipedia.org/wiki/TECH_GIAN","2026-06-30T07:06:16.338902+00:00","ja.wikipedia.org_wiki_TECH_GIAN__wsl20260630.html","ja.wikipedia.org_wiki_TECH_GIAN__wsl20260630.png","ja.wikipedia.org_wiki_TECH_GIAN__wsl20260630.txt"
"To Heart - Wikipedia","https://ja.wikipedia.org/wiki/To_Heart","https://ja.wikipedia.org/wiki/To_Heart","2026-06-29T16:48:20.2175579Z","ja.wikipedia.org_wiki_To_Heart__manual20260630.html","ja.wikipedia.org_wiki_To_Heart__manual20260630.png","ja.wikipedia.org_wiki_To_Heart__manual20260630.txt"
